cin,company_name,entity_type,director_name,full_address,pincode,state_name,city,pan,industry,incorporation_date,last_annual_return,current_status
U72215KA2013PTC258359,Singh & Co.,Llp,Ajay Singh,"No. 306, 5th Street, Varthur, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Rural,UOEFT8500V,manufacturing,03-12-2013,22/04/2026,Active
U34029KA2007PTC286076,Patel Works,Partnership,Divya Patel,"No. 237, 2nd Cross, Hebbal, Bengaluru - 560047",560047,KARNATAKA,Bengaluru Rural,GFWAI9366Z,technology,18/02/2007,2025-12-15,Active
U47960KA2013PTC114668,Kamath Associates,Public Ltd,Priya Kamath,"No. 158, 4th Road, Electronic City, Bengaluru - 560058",560058,KARNATAKA,Bengaluru Urban,VPUHS7526C,construction,27/01/2013,2026-04-03,Active
U23065KA2016PTC213122,Gowda Brothers,Llp,Ramesh Gowda,"No. 287, 3rd Road, Varthur, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Rural,,technology,28/02/2016,2026-11-18,Active
U66573KA8-04PTC204036,Patil Constructions,Llp,Pramod Patil,"No. 116, 2nd Layout, Basavanagudi, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Urban,DBATP6911Z,technology,2003-08-04,,Dormant under section 455
U68805KA2001PTC828192,Bhat Agency,Public Ltd,Venkatesh Bhat,"No. 376, 3rd Layout, KR Puram, Bengaluru - 560062",,KARNATAKA,Bengaluru Rural,MCXPH4790U,trading,23/03/2001,10-05-2025,Active
U87929KA2000PTC451504,Rao Constructions,Public Ltd,Ritu Rao,"No. 471, 3rd Cross, Mahadevapura, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Rural,TTNHV7418A,trading,22-06-2000,2025-03-11,Active
U19185KA2-03PTC698989,Shetty & Sons,Llp,Rekha Shetty,"No. 95, 3rd Cross, Varthur, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Rural,KNRFH7206B,construction,2014-12-03,,Active
U70928KA2000PTC598908,Patel Industries,Partnership,Sohan Patel,"No. 460, 4th Main Road, MG Road, Bengaluru - 560058",,KARNATAKA,Bengaluru Urban,,technology,24/02/2000,2022-09-14,Dissolved
U83804KA1-22PTC112922,Reddy Technologies,Public Ltd,,"No. 242, 5th Road, MG Road, Bengaluru - 560092",560092,KARNATAKA,Bengaluru Urban,ABUPM1864V,construction,2009-11-22,,Dormant under section 455
U95766KA2007PTC573401,Mehta & Co.,Llp,Arun Mehta,"No. 460, 3rd Main Road, Bellandur, Bengaluru - 560102",560102,KARNATAKA,Bengaluru Urban,QXLPX0510Q,technology,27/12/2007,14-04-2026,Active
U15407KA2009PTC879348,Jain Traders,Llp,Kavita Jain,"No. 464, 2nd Extension, Mahadevapura, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Urban,FJHFE0521O,trading,22-12-2009,11/01/2020,Under Liquidation
U25722KA2020PTC126163,Sharma & Co.,Pvt Ltd,Varun Sharma,"No. 152, 2nd Street, Basavanagudi, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Urban,ZBMAB4386D,services,29-10-2020,2026-10-05,Active
U63413KA2015PTC930836,Mishra Trading Co.,Pvt Ltd,,"No. 239, 5th Road, Basavanagudi, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Rural,KRNFN7665G,services,27/10/2015,10/03/2026,Active
U72123KA2019PTC974758,Kamath Industries,Llp,,"No. 148, 1st Road, Electronic City, Bengaluru - 560052",560052,KARNATAKA,Bengaluru Urban,BJLAQ8458J,trading,29-11-2019,,Active
U39567KA9-02PTC896473,Agarwal Engineers,Partnership,Anita Agarwal,"No. 405, 3rd Main Road, Electronic City, Bengaluru - 560041",560041,KARNATAKA,Bengaluru Rural,BWGAU3567P,services,2010-09-02,,Active
U28903KA2019PTC197352,Deshmukh Industries,Llp,Venkatesh Deshmukh,"No. 252, 3rd Extension, BTM Layout, Bengaluru - 560052",,KARNATAKA,Bengaluru Urban,IKVHL0065H,construction,06/11/2019,11-03-2026,Active
U45373KA2011PTC892019,Gupta & Co.,Partnership,,"No. 364, 5th Avenue, Yelahanka, Bengaluru - 560071",560071,KARNATAKA,Bengaluru Urban,XDPPE2489C,manufacturing,13/10/2011,2022-08-25,Under Liquidation
U86459KA2003PTC384790,Iyer Works,Pvt Ltd,Divya Iyer,"No. 376, 5th Road, Peenya, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Rural,QXKHW6074C,trading,12-06-2003,2026-10-06,Active
U59260KA6-05PTC746996,Jain Brothers,Llp,,"No. 472, 2nd Road, Malleshwaram, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Urban,TPEFK8636W,construction,2003-06-05,18/01/2023,Dormant under section 455
U22369KA2010PTC335561,Nair Services,Public Ltd,Deepa Nair,"No. 276, 1st Street, Brookefield, Bengaluru - 560018",560018,KARNATAKA,Bengaluru Urban,,services,17/03/2010,2025-11-18,Active
U83032KA4-27PTC125277,Pai Manufacturing,Public Ltd,Sunita Pai,"No. 63, 3rd Layout, Indiranagar, Bengaluru - 560060",560060,KARNATAKA,Bengaluru Rural,DVSFY7527U,trading,2004-04-27,16/06/2024,Dormant under section 455
U57066KA2021PTC712731,Naidu & Sons,Public Ltd,Pramod Naidu,"No. 227, 4th Road, JP Nagar, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Urban,,technology,27/01/2021,,Active
U97479KA2018PTC215804,Kumar Associates,Llp,Vijay Kumar,"No. 177, 3rd Layout, Banashankari, Bengaluru - 560009",560009,KARNATAKA,Bengaluru Rural,BGPHT6720S,manufacturing,13-12-2018,08/03/2026,Active
U66343KA2011PTC666747,Shenoy Services,Llp,Sunil Shenoy,"No. 273, 5th Avenue, Sarjapur Road, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Rural,VNHTR3425V,services,22/12/2011,20-09-2025,Active
U64214KA8-03PTC367700,Shetty Enterprises,Partnership,Sohan Shetty,"No. 282, 2nd Street, Bellandur, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,PKCCA2845N,construction,2010-08-03,2026-05-28,Active
U65220KA2000PTC233066,Rao Pvt Ltd,Pvt Ltd,Varun Rao,"No. 210, 3rd Avenue, Yelahanka, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,,trading,11-12-2000,,Under Liquidation
U45289KA7-02PTC427115,Tiwari Manufacturing,Llp,Seema Tiwari,"No. 121, 3rd Main Road, Brookefield, Bengaluru - 560008",,KARNATAKA,Bengaluru Urban,RYRTH2367Z,trading,2004-07-02,2024-06-02,Dormant under section 455
U83071KA2017PTC192873,Agarwal Associates,Partnership,Mukesh Agarwal,"No. 128, 5th Street, Electronic City, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Urban,,trading,26/08/2017,2021-04-04,Under Liquidation
U27121KA2009PTC189919,Hegde Industries,Public Ltd,Sanjay Hegde,"No. 61, 1st Street, KR Puram, Bengaluru - 560018",,KARNATAKA,Bengaluru Rural,YYQTH9917F,services,01/09/2009,13/07/2023,Dormant under section 455
U36424KA2022PTC512130,Mehta & Sons,Pvt Ltd,Varun Mehta,"No. 363, 4th Street, JP Nagar, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Rural,,manufacturing,19-08-2022,09-02-2026,Active
U40207KA5-21PTC392135,Iyer Solutions,Llp,Neha Iyer,"No. 256, 3rd Street, Whitefield, Bengaluru - 560003",560003,KARNATAKA,Bengaluru Rural,JZOAF2598E,technology,2002-05-21,2025-08-24,Active
U76082KA2001PTC265381,Hegde Solutions,Pvt Ltd,,"No. 445, 3rd Main Road, BTM Layout, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Urban,AGSHD9903W,manufacturing,01/03/2001,2024-11-27,Dormant under section 455
U34574KA1-30PTC255225,Mehta Engineers,Pvt Ltd,Anita Mehta,"No. 411, 3rd Cross, Jayanagar, Bengaluru - 560029",,KARNATAKA,Bengaluru Urban,,construction,2006-11-30,19-03-2026,Active
U74443KA2019PTC819657,Swamy & Co.,Public Ltd,Vinod Swamy,"No. 263, 3rd Layout, Jayanagar, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Urban,,services,09/03/2019,2026-07-19,Active
U37280KA0-20PTC898346,Naidu Agency,Llp,Rekha Naidu,"No. 24, 1st Layout, JP Nagar, Bengaluru - 560022",,KARNATAKA,Bengaluru Rural,,manufacturing,2000-10-20,2025-01-14,Active
U48232KA2-06PTC879906,Jain Trading Co.,Llp,Lakshmi Jain,"No. 263, 5th Street, Hebbal, Bengaluru - 560052",560052,KARNATAKA,Bengaluru Rural,MWPCJ5800U,construction,2000-12-06,,Active
U10440KA2-11PTC641230,Bhat Pvt Ltd,Pvt Ltd,Varun Bhat,"No. 384, 1st Street, Varthur, Bengaluru - 560040",560040,KARNATAKA,Bengaluru Rural,IGFTK9874J,trading,2007-02-11,,Dormant under section 455
U25612KA2013PTC525925,Pai Traders,Partnership,Priya Pai,"No. 475, 4th Avenue, Jayanagar, Bengaluru - 560098",,KARNATAKA,Bengaluru Rural,UICCD5497Y,trading,07-02-2013,03/06/2026,Active
U84411KA7-13PTC889544,Murthy Industries,Llp,Rohan Murthy,"No. 387, 4th Cross, Varthur, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Urban,TCQFE1297A,manufacturing,2006-07-13,2024-06-13,Dormant under section 455
U69866KA2008PTC878215,Jain & Co.,Llp,Ajay Jain,"No. 284, 3rd Street, Varthur, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Rural,CIZCN0766S,trading,06/11/2008,05/07/2026,Active
U90973KA2010PTC146902,Iyer Corporation,Public Ltd,Seema Iyer,"No. 259, 1st Street, Banashankari, Bengaluru - 560100",560100,KARNATAKA,Bengaluru Urban,KSWAR2055Y,technology,28/06/2010,14-11-2026,Active
U81776KA2006PTC545914,Singh Industries,Partnership,Ramesh Singh,"No. 244, 2nd Layout, Whitefield, Bengaluru - 560055",560055,KARNATAKA,Bengaluru Urban,ODJTH1517O,construction,22-06-2006,,Active
U87265KA2002PTC640069,Mehta Industries,Public Ltd,Manoj Mehta,"No. 461, 4th Cross, HSR Layout, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Urban,OOXHP8811U,services,16-05-2002,03-05-2026,Active
U42023KA8-04PTC567318,Reddy Works,Public Ltd,,"No. 93, 4th Road, Banashankari, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Rural,XDYCA2288S,manufacturing,2014-08-04,01/03/2025,Active
U89184KA2018PTC682270,Pai & Sons,Public Ltd,Divya Pai,"No. 163, 4th Extension, Jayanagar, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Rural,KIKFI3812Y,trading,31/03/2018,,Active
U50507KA5-18PTC257371,Jain Pvt Ltd,Pvt Ltd,Rajesh Jain,"No. 140, 5th Cross, Hebbal, Bengaluru - 560004",560004,KARNATAKA,Bengaluru Rural,FZJCZ2995B,technology,2019-05-18,22-11-2025,Active
U18967KA8-13PTC480652,Swamy & Co.,Llp,Lakshmi Swamy,"No. 276, 1st Avenue, JP Nagar, Bengaluru - 560103",560103,KARNATAKA,Bengaluru Urban,YQZTO2632T,manufacturing,2016-08-13,15-08-2025,Active
U52159KA2008PTC493280,Nair Enterprises,Pvt Ltd,Arun Nair,"No. 57, 3rd Extension, JP Nagar, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Rural,AHXFG0637H,technology,09-08-2008,11-12-2026,Active
U45826KA2007PTC524067,Kamath Works,Partnership,Sanjay Kamath,"No. 23, 2nd Road, Brookefield, Bengaluru - 560068",560068,KARNATAKA,Bengaluru Rural,,services,18/05/2007,,Active
U44995KA2019PTC775243,Shah Engineers,Public Ltd,Arun Shah,"No. 7, 5th Street, Indiranagar, Bengaluru - 560009",560009,KARNATAKA,Bengaluru Urban,CTGAZ6037T,trading,20-07-2019,02/01/2022,Struck Off
U76452KA2-07PTC259601,Shetty Services,Public Ltd,Arun Shetty,"No. 356, 3rd Cross, JP Nagar, Bengaluru - 560070",560070,KARNATAKA,Bengaluru Rural,IFLFZ3157T,technology,2021-12-07,26-04-2024,Dormant under section 455
U10147KA2001PTC256543,Tiwari Engineers,Public Ltd,Mahesh Tiwari,"No. 459, 2nd Layout, HSR Layout, Bengaluru - 560029",560029,KARNATAKA,Bengaluru Urban,,services,05/11/2001,11/12/2025,Active
U75127KA2012PTC374810,Singh Manufacturing,Pvt Ltd,Kiran Singh,"No. 37, 3rd Road, Indiranagar, Bengaluru - 560009",560009,KARNATAKA,Bengaluru Urban,LLJHK2042C,manufacturing,22/08/2012,18/02/2024,Dormant under section 455
U93515KA2018PTC302011,Kamath Agency,Partnership,Pooja Kamath,"No. 434, 2nd Layout, Malleshwaram, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Rural,VTATQ9982X,trading,20/10/2018,18-02-2024,Dormant under section 455
U12280KA2013PTC108830,Tiwari Industries,Partnership,Raghav Tiwari,"No. 244, 1st Cross, BTM Layout, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Rural,,services,21-01-2013,2026-04-11,Active
U82307KA2020PTC835281,Bhat Pvt Ltd,Pvt Ltd,Seema Bhat,"No. 258, 4th Cross, BTM Layout, Bengaluru - 560076",560076,KARNATAKA,Bengaluru Urban,JAIHM1154C,manufacturing,20/06/2020,29/12/2024,Dormant under section 455
U33159KA2019PTC924497,Menon Agency,Partnership,Anita Menon,"No. 431, 2nd Main Road, Marathahalli, Bengaluru - 560062",560062,KARNATAKA,Bengaluru Urban,TJTCM0271V,technology,30-10-2019,13-10-2026,Active
U24997KA2017PTC133247,Kumar & Co.,Partnership,,"No. 421, 2nd Street, Malleshwaram, Bengaluru - 560001",560001,KARNATAKA,Bengaluru Urban,QSXHW3007Y,technology,20/09/2017,2025-08-07,Active
U13084KA2020PTC156394,Shenoy Solutions,Public Ltd,,"No. 129, 1st Extension, Electronic City, Bengaluru - 560073",560073,KARNATAKA,Bengaluru Rural,JEKFA3408U,manufacturing,19/02/2020,27-08-2025,Active
U21761KA2009PTC858546,Shenoy Exports,Partnership,Arun Shenoy,"No. 105, 1st Main Road, JP Nagar, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Rural,PZGAY8377T,trading,26-03-2009,2026-11-12,Active
U92201KA2017PTC547968,Swamy Engineers,Pvt Ltd,,"No. 41, 4th Street, Peenya, Bengaluru - 560034",560034,KARNATAKA,Bengaluru Rural,,manufacturing,11/11/2017,28/03/2026,Active
U59055KA2021PTC112088,Kamath Exports,Llp,Sunil Kamath,"No. 288, 5th Layout, JP Nagar, Bengaluru - 560040",560040,KARNATAKA,Bengaluru Urban,NTTHA7409J,trading,16/12/2021,2026-08-26,Active
U43888KA2003PTC427215,Pandey & Co.,Public Ltd,Mohan Pandey,"No. 18, 3rd Street, Hebbal, Bengaluru - 560034",,KARNATAKA,Bengaluru Urban,KBXHS1797Y,construction,09-08-2003,2022-05-16,Under Liquidation
U67646KA2002PTC539313,Tiwari Exports,Partnership,Rajesh Tiwari,"No. 1, 1st Road, Hebbal, Bengaluru - 560018",560018,KARNATAKA,Bengaluru Rural,VGHAV8577X,services,24-08-2002,16/07/2025,Active
U24034KA2019PTC752255,Menon Works,Pvt Ltd,,"No. 52, 1st Road, Brookefield, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Rural,ZWLAD8123I,construction,07/04/2019,18/12/2025,Active
U36864KA2021PTC867441,Naidu Mills,Partnership,Rohan Naidu,"No. 418, 2nd Cross, Brookefield, Bengaluru - 560097",560097,KARNATAKA,Bengaluru Rural,VYRHT0331O,construction,25/09/2021,25/03/2023,Dormant under section 455
U20888KA2021PTC615028,Singh Exports,Pvt Ltd,Sunil Singh,"No. 489, 1st Layout, Yelahanka, Bengaluru - 560018",560018,KARNATAKA,Bengaluru Urban,,services,13-05-2021,20-05-2025,Active
U99048KA2005PTC232348,Pillai Manufacturing,Pvt Ltd,Divya Pillai,"No. 58, 1st Cross, Koramangala, Bengaluru - 560040",560040,KARNATAKA,Bengaluru Urban,,trading,31-08-2005,2024-08-27,Dormant under section 455
U76766KA2017PTC511025,Agarwal Mills,Llp,Divya Agarwal,"No. 294, 4th Street, Varthur, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,CAWFE8226E,services,29/07/2017,2020-11-22,Struck Off
U62453KA7-19PTC260057,Mehta Engineers,Llp,Ramesh Mehta,"No. 235, 2nd Extension, Rajajinagar, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Urban,,construction,2007-07-19,2026-05-01,Active
U63578KA2017PTC993702,Singh Agency,Partnership,Vijay Singh,"No. 335, 4th Cross, Sarjapur Road, Bengaluru - 560038",560038,KARNATAKA,Bengaluru Urban,YDNFS4172D,technology,22/03/2017,07/06/2022,Dissolved
U72037KA2018PTC589770,Naidu Services,Partnership,Divya Naidu,"No. 356, 2nd Road, Mahadevapura, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Rural,OCBAF4738Z,technology,23-12-2018,2025-11-04,Active
U11971KA2-20PTC138272,Menon Trading Co.,Public Ltd,Arun Menon,"No. 439, 2nd Main Road, Rajajinagar, Bengaluru - 560017",560017,KARNATAKA,Bengaluru Urban,YNUTR4565L,services,2009-02-20,03-10-2025,Active
U73356KA2013PTC415974,Naidu Constructions,Public Ltd,Divya Naidu,"No. 209, 1st Cross, Bommanahalli, Bengaluru - 560095",560095,KARNATAKA,Bengaluru Urban,SFJTU8641Z,services,01-10-2013,2024-05-16,Dormant under section 455
U50317KA2015PTC156253,Tiwari Works,Llp,Anita Tiwari,"No. 352, 5th Street, MG Road, Bengaluru - 560037",560037,KARNATAKA,Bengaluru Urban,NSWAI6819M,services,17/11/2015,10/10/2025,Active
U24478KA2010PTC258141,Gowda Industries,Pvt Ltd,,"No. 414, 1st Layout, Hebbal, Bengaluru - 560071",560071,KARNATAKA,Bengaluru Urban,NSYCJ6037C,technology,15-12-2010,24-06-2024,Dormant under section 455
U56698KA1-25PTC271575,Murthy Brothers,Public Ltd,Divya Murthy,"No. 128, 5th Avenue, Bellandur, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Urban,,construction,2021-11-25,23/09/2026,Active
U46229KA2-18PTC939940,Shenoy Enterprises,Partnership,Sunita Shenoy,"No. 116, 4th Layout, Marathahalli, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Rural,IJATF4041Q,trading,2004-12-18,,Active
U90276KA2011PTC617008,Pai & Sons,Llp,Anita Pai,"No. 406, 1st Main Road, Indiranagar, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Urban,,manufacturing,11-02-2011,,Active
U10330KA2002PTC998812,Hegde Corporation,Llp,Divya Hegde,"No. 20, 3rd Main Road, JP Nagar, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Urban,GTWTH6447D,technology,26/04/2002,08/01/2026,Active
U75594KA5-25PTC627108,Shenoy Brothers,Public Ltd,Pooja Shenoy,"No. 50, 1st Street, Indiranagar, Bengaluru - 560041",560041,KARNATAKA,Bengaluru Urban,YSGPF0072P,services,2005-05-25,2026-11-02,Active
U80364KA5-13PTC124326,Iyer Constructions,Llp,Ritu Iyer,"No. 323, 1st Layout, Yelahanka, Bengaluru - 560048",560048,KARNATAKA,Bengaluru Urban,FLCAT3792X,construction,2003-05-13,,Active
U23206KA2016PTC145867,Pillai Exports,Pvt Ltd,Rohan Pillai,"No. 88, 2nd Road, Indiranagar, Bengaluru - 560071",560071,KARNATAKA,Bengaluru Urban,OKPCF0550Z,manufacturing,22/07/2016,24-12-2026,Active
U46564KA2008PTC186257,Rao & Sons,Llp,Sohan Rao,"No. 310, 5th Main Road, Sarjapur Road, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Rural,GDXFK9603X,manufacturing,21/02/2008,,Active
U16679KA6-28PTC426060,Rao Manufacturing,Llp,Lakshmi Rao,"No. 478, 3rd Avenue, Basavanagudi, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Urban,JYCPT1431N,technology,2012-06-28,2025-05-11,Active
U75099KA2013PTC249188,Shenoy Constructions,Partnership,,"No. 43, 5th Street, JP Nagar, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Rural,TJMHW9661U,trading,21/03/2013,19/07/2026,Active
U36559KA2001PTC271081,Bhat Trading Co.,Partnership,,"No. 484, 3rd Road, Koramangala, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Rural,,technology,23-01-2001,03-05-2024,Dormant under section 455
U91644KA2003PTC733749,Shah Agency,Pvt Ltd,Anita Shah,"No. 185, 5th Avenue, Rajajinagar, Bengaluru - 560045",,KARNATAKA,Bengaluru Rural,,services,29/11/2003,2025-11-18,Active
U37506KA5-10PTC412280,Reddy Brothers,Public Ltd,Deepa Reddy,"No. 439, 5th Street, Banashankari, Bengaluru - 560052",560052,KARNATAKA,Bengaluru Urban,,services,2000-05-10,,Struck Off
U75061KA2019PTC883850,Rao & Sons,Pvt Ltd,,"No. 169, 1st Cross, JP Nagar, Bengaluru - 560025",560025,KARNATAKA,Bengaluru Rural,EKBHO6345O,manufacturing,17/04/2019,2025-08-05,Active
U23757KA2006PTC760960,Iyer Pvt Ltd,Public Ltd,Ramesh Iyer,"No. 176, 3rd Main Road, Banashankari, Bengaluru - 560008",560008,KARNATAKA,Bengaluru Urban,,manufacturing,27/06/2006,2023-11-21,Dormant under section 455
U99619KA2018PTC850034,Reddy Services,Llp,Arun Reddy,"No. 280, 2nd Extension, Varthur, Bengaluru - 560053",560053,KARNATAKA,Bengaluru Rural,,construction,28/07/2018,10/07/2026,Active
U86262KA2020PTC779492,Singh Solutions,Pvt Ltd,Mukesh Singh,"No. 316, 4th Road, MG Road, Bengaluru - 560092",560092,KARNATAKA,Bengaluru Rural,NTCCO4155M,manufacturing,23/10/2020,2022-03-21,Struck Off
U11235KA2007PTC759225,Kumar Technologies,Pvt Ltd,,"No. 308, 3rd Cross, Hoodi, Bengaluru - 560068",560068,KARNATAKA,Bengaluru Urban,YUNFV2874H,construction,08/02/2007,2026-12-29,Active
U31711KA6-01PTC840471,Patel Services,Public Ltd,,"No. 325, 4th Avenue, Malleshwaram, Bengaluru - 560050",560050,KARNATAKA,Bengaluru Urban,,services,2011-06-01,31-01-2025,Active
U78496KA2020PTC880850,Singh Brothers,Llp,,"No. 415, 4th Layout, Hoodi, Bengaluru - 560060",560060,KARNATAKA,Bengaluru Rural,ANDFD8010W,construction,05/01/2020,06/10/2025,Active
U39713KA2002PTC590679,Verma & Sons,Public Ltd,,"No. 415, 3rd Layout, Electronic City, Bengaluru - 560010",560010,KARNATAKA,Bengaluru Urban,QPLAL3601B,services,21/12/2002,06-08-2025,Active
U24557KA2003PTC917047,Pillai Trading Co.,Pvt Ltd,Rajesh Pillai,"No. 166, 4th Main Road, Indiranagar, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Urban,,manufacturing,14/05/2003,20/09/2026,Active
U88082KA2000PTC894996,Bhat Works,Partnership,Rohan Bhat,"No. 375, 4th Main Road, Brookefield, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Urban,HEDHD1878N,manufacturing,03-08-2000,2026-01-30,Active
U80185KA2001PTC307581,Mishra & Sons,Pvt Ltd,Pramod Mishra,"No. 104, 4th Main Road, Peenya, Bengaluru - 560079",560079,KARNATAKA,Bengaluru Urban,,services,13/04/2001,08/04/2024,Dormant under section 455
U23899KA2018PTC107312,Jain Services,Public Ltd,Ajay Jain,"No. 142, 5th Extension, Mahadevapura, Bengaluru - 560022",560022,KARNATAKA,Bengaluru Rural,,services,23/02/2018,14-08-2025,Active
U58016KA2021PTC922480,Bhat Exports,Pvt Ltd,Mohan Bhat,"No. 349, 1st Main Road, Malleshwaram, Bengaluru - 560018",560018,KARNATAKA,Bengaluru Urban,VRMCZ2672A,technology,03-04-2021,,Active
U43671KA2009PTC801633,Verma Constructions,Llp,Sohan Verma,"No. 130, 3rd Layout, Hebbal, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Urban,CVOFH5110J,services,17-11-2009,01/01/2022,Under Liquidation
U34408KA2020PTC270151,Swamy Manufacturing,Partnership,Ritu Swamy,"No. 302, 4th Cross, JP Nagar, Bengaluru - 560045",560045,KARNATAKA,Bengaluru Rural,APSHL2093D,construction,01-12-2020,24-10-2025,Active
U88966KA2004PTC801381,Patil Brothers,Llp,Rajesh Patil,"No. 71, 3rd Cross, Marathahalli, Bengaluru - 560004",560004,KARNATAKA,Bengaluru Urban,OEMPZ2428D,construction,26/05/2004,2021-09-28,Dissolved
U71886KA2022PTC120890,Pandey & Co.,Public Ltd,Priya Pandey,"No. 227, 3rd Extension, Peenya, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Rural,ORIAE6115J,services,22/12/2022,,Active
U25518KA2000PTC357853,Rao Associates,Pvt Ltd,Priya Rao,"No. 247, 3rd Avenue, KR Puram, Bengaluru - 560040",560040,KARNATAKA,Bengaluru Urban,WBVCM6475B,trading,15/04/2000,2025-07-25,Active
U21723KA2012PTC437488,Reddy Brothers,Partnership,,"No. 235, 3rd Road, Hoodi, Bengaluru - 560060",560060,KARNATAKA,Bengaluru Urban,SCKHE0450J,construction,26-06-2012,2026-02-08,Active
U60907KA4-04PTC176231,Jain Corporation,Partnership,,"No. 223, 5th Avenue, Electronic City, Bengaluru - 560102",560102,KARNATAKA,Bengaluru Urban,BTPPF3639S,trading,2022-04-04,07/08/2024,Dormant under section 455
U78508KA2022PTC904093,Rao Solutions,Public Ltd,Lakshmi Rao,"No. 308, 5th Cross, Jayanagar, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Urban,NJXCZ0430C,technology,06/06/2022,28-02-2025,Active
U24746KA2010PTC750120,Shah Trading Co.,Public Ltd,Mohan Shah,"No. 413, 5th Extension, Koramangala, Bengaluru - 560064",560064,KARNATAKA,Bengaluru Urban,,construction,07-02-2010,05/05/2026,Active
U75980KA1-20PTC169162,Pandey & Sons,Public Ltd,Anita Pandey,"No. 219, 5th Main Road, Varthur, Bengaluru - 560055",,KARNATAKA,Bengaluru Urban,UWFPA7858V,technology,2002-01-20,2021-05-26,Dissolved
U19777KA2010PTC953590,Nair Works,Public Ltd,,"No. 366, 3rd Cross, Yelahanka, Bengaluru - 560030",560030,KARNATAKA,Bengaluru Rural,,services,05/05/2010,,Dormant under section 455
U59421KA9-17PTC599406,Gupta Traders,Public Ltd,Vijay Gupta,"No. 442, 4th Layout, MG Road, Bengaluru - 560064",560064,KARNATAKA,Bengaluru Rural,JVDCW4790B,trading,2009-09-17,29/09/2026,Active
U48115KA2019PTC523918,Pandey Agency,Partnership,Mohan Pandey,"No. 144, 3rd Road, MG Road, Bengaluru - 560011",560011,KARNATAKA,Bengaluru Urban,WUYPZ1376R,trading,28/11/2019,10/01/2025,Active
U40496KA6-07PTC424909,Jain Technologies,Public Ltd,Suresh Jain,"No. 404, 3rd Cross, Mahadevapura, Bengaluru - 560043",560043,KARNATAKA,Bengaluru Rural,JCLAC2338N,technology,2015-06-07,2026-08-20,Active
U75361KA3-26PTC541042,Gowda Traders,Llp,Krishna Gowda,"No. 267, 4th Cross, Peenya, Bengaluru - 560094",560094,KARNATAKA,Bengaluru Rural,RDTTC9995S,construction,2016-03-26,2026-06-02,Active
U65638KA9-03PTC997080,Verma Agency,Pvt Ltd,Manoj Verma,"No. 380, 4th Cross, Yelahanka, Bengaluru - 560085",560085,KARNATAKA,Bengaluru Rural,XJKAH7188S,construction,2019-09-03,26/08/2026,Active
U24570KA4-21PTC243461,Nair & Co.,Partnership,Nagaraj Nair,"No. 451, 5th Cross, KR Puram, Bengaluru - 560038",,KARNATAKA,Bengaluru Urban,YCHFB5858N,trading,2004-04-21,2026-06-05,Active
U27561KA2015PTC345587,Kamath Exports,Public Ltd,Divya Kamath,"No. 471, 1st Layout, Varthur, Bengaluru - 560098",560098,KARNATAKA,Bengaluru Rural,AXYAR7080G,services,16/01/2015,,Active
