gstin,pan_number,business_name,proprietor,registered_address,pin_code,state,district_name,constitution,business_activity,contact_number,email_id,date_of_registration,last_return_date,registration_status
29DPTAV5169TEZO,DPTAV5169T,Rao Enterprises,Arun Rao,"No. 351, 4th Avenue, Peenya, Bengaluru - 560068",560068,Karnataka,Bengaluru Urban,public_ltd,construction,+919195857069,,14/11/2018,21/12/2022,Deregistered
29FUUHL5776DGZU,FUUHL5776D,Jain Traders,,"No. 97, 1st Street, Marathahalli, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,pvt_ltd,technology,,raghav.jain@outlook.com,11-05-2012,28/07/2025,active
29OOEAR4957M7ZE,OOEAR4957M,Murthy Solutions,,"No. 403, 3rd Avenue, JP Nagar, Bengaluru - 560066",560066,Karnataka,Bengaluru Urban,llp,construction,,,06-11-2012,2020-04-27,Deregistered
29QLFTZ5175WAZ2,,Sharma Pvt Ltd,,"No. 205, 3rd Street, Brookefield, Bengaluru - 560038",560038,Karnataka,Bengaluru Rural,public_ltd,services,+916557002893,,22/09/2008,10/01/2020,Deregistered
29ENOAJ3152RGZS,ENOAJ3152R,Menon Associates,Sunil Menon,"No. 460, 5th Avenue, Yelahanka, Bengaluru - 560095",560095,Karnataka,Bengaluru Urban,partnership,trading,+916106962395,sunil.menon@gmail.com,2012-11-19,2025-12-17,Live
29OEICS2969PFZF,OEICS2969P,Prasad Corporation,,"No. 55, 1st Road, Brookefield, Bengaluru - 560017",560017,Karnataka,Bengaluru Rural,public_ltd,services,,ritu.prasad@outlook.com,27/07/2012,2026-08-14,Live
29BUMAB5361DTZK,BUMAB5361D,Pandey Engineers,,"No. 314, 3rd Main Road, Basavanagudi, Bengaluru - 560043",560043,Karnataka,Bengaluru Rural,public_ltd,services,+918293144734,priya.pandey@outlook.com,18-11-2005,13-04-2023,Default in Filing
29HGLHG1918F8ZX,HGLHG1918F,Mehta Works,Seema Mehta,"No. 440, 5th Road, Bommanahalli, Bengaluru - 560037",560037,Karnataka,Bengaluru Rural,proprietorship,trading,,seema.mehta@rediffmail.com,2018-06-21,27-11-2026,Live
29FOQCY2357OOZI,FOQCY2357O,Hegde Pvt Ltd,Pooja Hegde,"No. 314, 5th Layout, Sarjapur Road, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,public_ltd,technology,+919123226248,pooja.hegde@rediffmail.com,13/03/2020,2025-01-24,Registered
29SRYTX0110P1ZP,SRYTX0110P,Singh Solutions,Sohan Singh,"No. 44, 4th Cross, Whitefield, Bengaluru - 560079",560079,Karnataka,Bengaluru Urban,pvt_ltd,technology,,sohan.singh@outlook.com,2019-12-15,28-12-2020,Closed
29PQQAN5633R5ZS,PQQAN5633R,Kulkarni Manufacturing,Sunita Kulkarni,"No. 1, 5th Avenue, MG Road, Bengaluru - 560041",560041,Karnataka,Bengaluru Urban,pvt_ltd,technology,+917256472775,,16/06/2008,14/06/2022,Dissolved
29GSQHH2427THZI,GSQHH2427T,Kulkarni Services,Ganesh Kulkarni,"No. 149, 1st Street, Whitefield, Bengaluru - 560022",560022,Karnataka,Bengaluru Rural,partnership,manufacturing,+916261005112,,2004-01-17,11/08/2025,Registered
,KUMFO6007E,Bhat Pvt Ltd,Arun Bhat,"No. 425, 1st Road, JP Nagar, Bengaluru - 560037",560037,Karnataka,Bengaluru Urban,partnership,trading,,arun.bhat@rediffmail.com,22-11-2001,2022-12-02,Struck Off
29GQFPV2163F7ZP,GQFPV2163F,Bhat Traders,Sunita Bhat,"No. 46, 2nd Main Road, Brookefield, Bengaluru - 560048",560048,Karnataka,Bengaluru Rural,pvt_ltd,services,,sunita.bhat@outlook.com,31/07/2015,22-01-2023,Dormant
29JSGPP7554SMZK,JSGPP7554S,Murthy Industries,Nagaraj Murthy,"No. 152, 3rd Extension, Yelahanka, Bengaluru - 560017",560017,Karnataka,Bengaluru Rural,public_ltd,services,+916063108727,nagaraj.murthy@outlook.com,26-04-2022,17/10/2025,Live
29KICTC0910D6Z2,KICTC0910D,Pandey Works,,"No. 303, 3rd Road, Varthur, Bengaluru - 560079",560079,Karnataka,Bengaluru Rural,proprietorship,trading,+918609248080,nagaraj.pandey@outlook.com,04-12-2011,14/03/2025,Active
29CFNPX2316SBZZ,CFNPX2316S,Verma Agency,,"No. 406, 2nd Extension, Electronic City, Bengaluru - 560009",560009,Karnataka,Bengaluru Rural,public_ltd,trading,+917655995984,vinod.verma@outlook.com,18-10-2010,20-01-2026,active
,,Pillai Services,Neha Pillai,"No. 421, 3rd Extension, Brookefield, Bengaluru - 560002",560002,Karnataka,Bengaluru Urban,pvt_ltd,manufacturing,+919031352803,neha.pillai@yahoo.co.in,2021-08-23,08-12-2026,Active
29OXPFB7500YRZQ,OXPFB7500Y,Sharma & Sons,Ramesh Sharma,"No. 22, 3rd Extension, Peenya, Bengaluru - 560041",560041,Karnataka,Bengaluru Urban,partnership,construction,+917520734552,,05/12/2005,09-08-2026,Live
29BKCAN7115PCZZ,BKCAN7115P,Menon Corporation,Ganesh Menon,"No. 221, 3rd Street, Brookefield, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,partnership,technology,,,2019-10-04,2021-04-23,Cancelled
,RESPD7261J,Deshmukh Works,Suresh Deshmukh,"No. 379, 5th Main Road, BTM Layout, Bengaluru - 560045",560045,Karnataka,Bengaluru Urban,partnership,trading,+917569663952,,2012-03-02,2025-01-09,ACTIVE
29KHWTL8086HWZ6,KHWTL8086H,Singh Pvt Ltd,Arun Singh,"No. 288, 1st Road, Yelahanka, Bengaluru - 560066",560066,Karnataka,Bengaluru Urban,llp,trading,,arun.singh@gmail.com,27-04-2001,2021-04-06,Struck Off
29IKDTM5686N9ZR,IKDTM5686N,Deshmukh Constructions,,"No. 71, 5th Extension, Sarjapur Road, Bengaluru - 560029",560029,Karnataka,Bengaluru Urban,public_ltd,manufacturing,,anita.deshmukh@rediffmail.com,2005-04-23,30-05-2025,Registered
29AIZHJ4989ICZ6,AIZHJ4989I,Kumar Traders,,"No. 314, 2nd Extension, KR Puram, Bengaluru - 560078",560078,Karnataka,Bengaluru Urban,partnership,construction,+918636456738,,2007-05-07,2026-02-23,Registered
29YYFTG7099TKZT,YYFTG7099T,Reddy Traders,Vijay Reddy,"No. 202, 5th Street, Malleshwaram, Bengaluru - 560100",560100,Karnataka,Bengaluru Urban,pvt_ltd,services,+919480953755,,19/09/2019,08/08/2021,Cancelled
,EHXTQ9460Q,Shetty & Sons,Manoj Shetty,"No. 13, 2nd Layout, Yelahanka, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,llp,technology,,manoj.shetty@gmail.com,14-12-2022,14-02-2022,Closed
29JTXAV8117BJZS,JTXAV8117B,Swamy Solutions,Anita Swamy,"No. 319, 3rd Road, MG Road, Bengaluru - 560025",,Karnataka,Bengaluru Rural,public_ltd,services,+916850825440,,22-06-2012,2025-08-01,Active
,EBJCB6829B,Swamy Agency,Sanjay Swamy,"No. 394, 3rd Cross, Koramangala, Bengaluru - 560003",560003,Karnataka,Bengaluru Rural,public_ltd,services,+916878041834,sanjay.swamy@yahoo.co.in,2002-08-11,07-10-2026,active
29ZMRTJ4825T8ZV,ZMRTJ4825T,Shenoy Works,Rekha Shenoy,"No. 363, 3rd Main Road, HSR Layout, Bengaluru - 560079",,Karnataka,Bengaluru Urban,partnership,manufacturing,,rekha.shenoy@yahoo.co.in,19/08/2012,12/11/2023,Suspended
29NIATK3760FLZU,NIATK3760F,Shetty Works,,"No. 457, 5th Cross, Yelahanka, Bengaluru - 560085",560085,Karnataka,Bengaluru Rural,partnership,manufacturing,+916905565053,sunita.shetty@rediffmail.com,2012-07-31,20-01-2026,ACTIVE
,NEPCT1738W,Shenoy Corporation,Sanjay Shenoy,"No. 111, 5th Cross, Rajajinagar, Bengaluru - 560058",560058,Karnataka,Bengaluru Urban,pvt_ltd,technology,,sanjay.shenoy@outlook.com,2014-09-07,11-04-2023,Inactive
29RDSHM7509V5ZL,RDSHM7509V,Reddy Solutions,Nagaraj Reddy,"No. 160, 1st Extension, Hoodi, Bengaluru - 560094",560094,Karnataka,Bengaluru Rural,public_ltd,services,+918312341120,nagaraj.reddy@gmail.com,18-09-2015,25-05-2025,Live
,UOEFT8500V,Singh & Co.,Ajay Singh,"No. 306, 5th Street, Varthur, Bengaluru - 560022",560022,Karnataka,Bengaluru Rural,llp,manufacturing,+917387659741,ajay.singh@outlook.com,03-12-2013,22/04/2026,Active
29GFWAI9366ZKZT,GFWAI9366Z,Patel Works,Divya Patel,"No. 237, 2nd Cross, Hebbal, Bengaluru - 560047",560047,Karnataka,Bengaluru Rural,partnership,technology,+918547150345,,18/02/2007,2025-12-15,Active
29VPUHS7526CVZ7,VPUHS7526C,Kamath Associates,Priya Kamath,"No. 158, 4th Road, Electronic City, Bengaluru - 560058",560058,Karnataka,Bengaluru Urban,public_ltd,construction,,priya.kamath@yahoo.co.in,27/01/2013,2026-04-03,ACTIVE
29FWHTJ9979CWZP,FWHTJ9979C,Gowda Brothers,Ramesh Gowda,"No. 287, 3rd Road, Varthur, Bengaluru - 560001",560001,Karnataka,Bengaluru Rural,llp,technology,,,28/02/2016,2026-11-18,active
29DBATP6911ZTZR,DBATP6911Z,Patil Constructions,Pramod Patil,"No. 116, 2nd Layout, Basavanagudi, Bengaluru - 560050",560050,Karnataka,Bengaluru Urban,llp,technology,,pramod.patil@gmail.com,2003-08-04,23/06/2024,Suspended
29MCXPH4790UJZ3,MCXPH4790U,Bhat Agency,Venkatesh Bhat,"No. 376, 3rd Layout, KR Puram, Bengaluru - 560062",560062,Karnataka,Bengaluru Rural,public_ltd,trading,+917209775041,,23/03/2001,10-05-2025,Registered
29BUGAI2276SSZN,BUGAI2276S,Shenoy Pvt Ltd,Nagaraj Shenoy,"No. 44, 2nd Extension, Malleshwaram, Bengaluru - 560003",560003,Karnataka,Bengaluru Urban,proprietorship,manufacturing,,nagaraj.shenoy@rediffmail.com,08/07/2007,05/11/2025,ACTIVE
29TTNHV7418ASZO,TTNHV7418A,Rao Constructions,Ritu Rao,"No. 471, 3rd Cross, Mahadevapura, Bengaluru - 560055",560055,Karnataka,Bengaluru Rural,public_ltd,trading,+917825462675,,22-06-2000,2025-03-11,Live
29KNRFH7206BDZ7,KNRFH7206B,Shetty & Sons,Rekha Shetty,"No. 95, 3rd Cross, Varthur, Bengaluru - 560010",560010,Karnataka,Bengaluru Rural,llp,construction,+919692497310,,2014-12-03,2025-09-29,Live
,,Patel Industries,,"No. 460, 4th Main Road, MG Road, Bengaluru - 560058",560058,Karnataka,Bengaluru Urban,partnership,technology,+919627955944,,24/02/2000,2022-09-14,Closed
29OYJTJ4690RLZ5,OYJTJ4690R,Prasad Pvt Ltd,Mahesh Prasad,"No. 98, 3rd Street, Bellandur, Bengaluru - 560050",560050,Karnataka,Bengaluru Rural,proprietorship,construction,,,20/10/2013,2026-04-06,active
,,Reddy Technologies,Lakshmi Reddy,"No. 242, 5th Road, MG Road, Bengaluru - 560092",560092,Karnataka,Bengaluru Urban,public_ltd,construction,,lakshmi.reddy@gmail.com,2009-11-22,12/03/2024,Dormant
29VZRFD9518Z2ZB,VZRFD9518Z,Naidu Manufacturing,,"No. 87, 3rd Extension, Banashankari, Bengaluru - 560103",560103,Karnataka,Bengaluru Urban,proprietorship,services,,sunita.naidu@gmail.com,22/09/2012,02-05-2024,Suspended
29DDHHN2165W5ZJ,DDHHN2165W,Sharma Constructions,Mohan Sharma,"No. 272, 1st Extension, Indiranagar, Bengaluru - 560025",560025,Karnataka,Bengaluru Rural,proprietorship,manufacturing,+918462011894,mohan.sharma@yahoo.co.in,02/05/2016,15/09/2025,active
,QXLPX0510Q,Mehta & Co.,,"No. 460, 3rd Main Road, Bellandur, Bengaluru - 560102",,Karnataka,Bengaluru Urban,llp,technology,+917224180504,,27/12/2007,14-04-2026,active
29FJHFE0521OAZL,FJHFE0521O,Jain Traders,Kavita Jain,"No. 464, 2nd Extension, Mahadevapura, Bengaluru - 560085",,Karnataka,Bengaluru Urban,llp,trading,,,22-12-2009,11/01/2020,Closed
29ZBMAB4386DFZ5,ZBMAB4386D,Sharma & Co.,Varun Sharma,"No. 152, 2nd Street, Basavanagudi, Bengaluru - 560011",560011,Karnataka,Bengaluru Urban,pvt_ltd,services,,varun.sharma@outlook.com,29-10-2020,2026-10-05,active
29KRNFN7665G5ZL,KRNFN7665G,Mishra Trading Co.,Divya Mishra,"No. 239, 5th Road, Basavanagudi, Bengaluru - 560050",560050,Karnataka,Bengaluru Rural,pvt_ltd,services,+917150729214,divya.mishra@yahoo.co.in,27/10/2015,10/03/2026,Live
29BJLAQ8458JNZ4,BJLAQ8458J,Kamath Industries,Mukesh Kamath,"No. 148, 1st Road, Electronic City, Bengaluru - 560052",560052,Karnataka,Bengaluru Urban,llp,trading,+917111290469,mukesh.kamath@outlook.com,29-11-2019,2025-10-26,Active
29BWGAU3567PXZZ,BWGAU3567P,Agarwal Engineers,,"No. 405, 3rd Main Road, Electronic City, Bengaluru - 560041",560041,Karnataka,Bengaluru Rural,partnership,services,,anita.agarwal@yahoo.co.in,2010-09-02,21-11-2025,Active
29DGEAW0333RYZJ,DGEAW0333R,Kumar & Sons,Lakshmi Kumar,"No. 476, 3rd Main Road, Yelahanka, Bengaluru - 560017",560017,Karnataka,Bengaluru Urban,proprietorship,trading,+917628979677,lakshmi.kumar@outlook.com,2021-06-26,2026-07-19,Registered
29IKVHL0065HHZC,IKVHL0065H,Deshmukh Industries,,"No. 252, 3rd Extension, BTM Layout, Bengaluru - 560052",560052,Karnataka,Bengaluru Urban,llp,construction,,venkatesh.deshmukh@yahoo.co.in,06/11/2019,11-03-2026,ACTIVE
29XDPPE2489COZ5,XDPPE2489C,Gupta & Co.,Rekha Gupta,"No. 364, 5th Avenue, Yelahanka, Bengaluru - 560071",560071,Karnataka,Bengaluru Urban,partnership,manufacturing,+918135088354,rekha.gupta@gmail.com,13/10/2011,2022-08-25,Deregistered
29QXKHW6074CNZU,QXKHW6074C,Iyer Works,Divya Iyer,"No. 376, 5th Road, Peenya, Bengaluru - 560048",560048,Karnataka,Bengaluru Rural,pvt_ltd,trading,+918514630369,divya.iyer@gmail.com,12-06-2003,2026-10-06,Live
29TPEFK8636WYZM,TPEFK8636W,Jain Brothers,,"No. 472, 2nd Road, Malleshwaram, Bengaluru - 560053",560053,Karnataka,Bengaluru Urban,llp,construction,+918587569877,lakshmi.jain@gmail.com,2003-06-05,18/01/2023,Dormant
29JRDHT5913XEZ8,JRDHT5913X,Agarwal Technologies,Varun Agarwal,"No. 218, 1st Road, Koramangala, Bengaluru - 560011",560011,Karnataka,Bengaluru Urban,proprietorship,manufacturing,+916701750120,varun.agarwal@gmail.com,19-03-2009,13-01-2021,Struck Off
29JCVFS3157H4Z6,JCVFS3157H,Nair Services,Deepa Nair,"No. 276, 1st Street, Brookefield, Bengaluru - 560018",560018,Karnataka,Bengaluru Urban,public_ltd,services,,deepa.nair@outlook.com,17/03/2010,2025-11-18,Registered
29MNMFW2704MJZS,MNMFW2704M,Kulkarni Exports,,"No. 459, 4th Street, Koramangala, Bengaluru - 560025",560025,Karnataka,Bengaluru Rural,proprietorship,services,,vinod.kulkarni@gmail.com,2016-04-25,02/09/2026,ACTIVE
29DVSFY7527UMZU,,Pai Manufacturing,,"No. 63, 3rd Layout, Indiranagar, Bengaluru - 560060",560060,Karnataka,Bengaluru Rural,public_ltd,trading,,sunita.pai@yahoo.co.in,2004-04-27,16/06/2024,Inactive
,UFRHQ2385Y,Naidu & Sons,Pramod Naidu,"No. 227, 4th Road, JP Nagar, Bengaluru - 560043",560043,Karnataka,Bengaluru Urban,public_ltd,technology,+918583741741,pramod.naidu@outlook.com,27/01/2021,10-06-2025,ACTIVE
,BGPHT6720S,Kumar Associates,,"No. 177, 3rd Layout, Banashankari, Bengaluru - 560009",560009,Karnataka,Bengaluru Rural,llp,manufacturing,,vijay.kumar@rediffmail.com,13-12-2018,08/03/2026,Registered
,AMAFM5304W,Shah Pvt Ltd,,"No. 104, 4th Street, Banashankari, Bengaluru - 560048",560048,Karnataka,Bengaluru Urban,proprietorship,trading,+918209427080,,26/04/2021,20-03-2025,Registered
29VNHTR3425VBZ1,VNHTR3425V,Shenoy Services,Sunil Shenoy,"No. 273, 5th Avenue, Sarjapur Road, Bengaluru - 560038",560038,Karnataka,Bengaluru Rural,llp,services,+919531163438,sunil.shenoy@gmail.com,22/12/2011,20-09-2025,Registered
29PKCCA2845N2ZC,PKCCA2845N,Shetty Enterprises,Sohan Shetty,"No. 282, 2nd Street, Bellandur, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,partnership,construction,,sohan.shetty@gmail.com,2010-08-03,2026-05-28,Registered
29NVYAI4057KOZF,,Rao Pvt Ltd,Varun Rao,"No. 210, 3rd Avenue, Yelahanka, Bengaluru - 560038",560038,Karnataka,Bengaluru Urban,pvt_ltd,trading,+916561542271,,11-12-2000,12-03-2020,Dissolved
29RYRTH2367ZYZF,RYRTH2367Z,Tiwari Manufacturing,Seema Tiwari,"No. 121, 3rd Main Road, Brookefield, Bengaluru - 560008",560008,Karnataka,Bengaluru Urban,llp,trading,+916687408894,seema.tiwari@outlook.com,2004-07-02,2024-06-02,Default in Filing
29JPVTK4006U8Z0,JPVTK4006U,Agarwal Associates,Mukesh Agarwal,"No. 128, 5th Street, Electronic City, Bengaluru - 560010",560010,Karnataka,Bengaluru Urban,partnership,trading,+916734726871,mukesh.agarwal@outlook.com,26/08/2017,2021-04-04,Deregistered
,,Hegde Industries,Sanjay Hegde,"No. 61, 1st Street, KR Puram, Bengaluru - 560018",560018,Karnataka,Bengaluru Rural,public_ltd,services,,sanjay.hegde@outlook.com,01/09/2009,13/07/2023,Dormant
,EUAFH6936O,Mehta & Sons,,"No. 363, 4th Street, JP Nagar, Bengaluru - 560098",560098,Karnataka,Bengaluru Rural,pvt_ltd,manufacturing,+919003299995,,19-08-2022,09-02-2026,Registered
,JZOAF2598E,Iyer Solutions,Neha Iyer,"No. 256, 3rd Street, Whitefield, Bengaluru - 560003",560003,Karnataka,Bengaluru Rural,llp,technology,+916286723839,neha.iyer@yahoo.co.in,2002-05-21,2025-08-24,ACTIVE
29AGSHD9903WTZV,AGSHD9903W,Hegde Solutions,Ritu Hegde,"No. 445, 3rd Main Road, BTM Layout, Bengaluru - 560008",560008,Karnataka,Bengaluru Urban,pvt_ltd,manufacturing,,ritu.hegde@outlook.com,01/03/2001,2024-11-27,Inactive
29KPYFE0474U0ZL,KPYFE0474U,Mehta Engineers,Anita Mehta,"No. 411, 3rd Cross, Jayanagar, Bengaluru - 560029",560029,Karnataka,Bengaluru Urban,pvt_ltd,construction,,anita.mehta@outlook.com,2006-11-30,19-03-2026,Live
29UIRCL6854MRZ5,UIRCL6854M,Swamy & Co.,Vinod Swamy,"No. 263, 3rd Layout, Jayanagar, Bengaluru - 560008",560008,Karnataka,Bengaluru Urban,public_ltd,services,,vinod.swamy@rediffmail.com,09/03/2019,2026-07-19,active
,XNNHD4783S,Naidu Agency,Rekha Naidu,"No. 24, 1st Layout, JP Nagar, Bengaluru - 560022",560022,Karnataka,Bengaluru Rural,llp,manufacturing,,rekha.naidu@rediffmail.com,2000-10-20,2025-01-14,ACTIVE
,RLKTX6469L,Shetty Enterprises,Arun Shetty,"No. 357, 2nd Avenue, MG Road, Bengaluru - 560010",560010,Karnataka,Bengaluru Urban,proprietorship,manufacturing,,arun.shetty@outlook.com,2007-06-14,31/03/2024,Inactive
29MWPCJ5800URZQ,MWPCJ5800U,Jain Trading Co.,Lakshmi Jain,"No. 263, 5th Street, Hebbal, Bengaluru - 560052",560052,Karnataka,Bengaluru Rural,llp,construction,,,2000-12-06,16/07/2025,Registered
29IGFTK9874JOZQ,IGFTK9874J,Bhat Pvt Ltd,Varun Bhat,"No. 384, 1st Street, Varthur, Bengaluru - 560040",560040,Karnataka,Bengaluru Rural,pvt_ltd,trading,+918114794259,,2007-02-11,2024-05-30,Inactive
,UICCD5497Y,Pai Traders,Priya Pai,"No. 475, 4th Avenue, Jayanagar, Bengaluru - 560098",560098,Karnataka,Bengaluru Rural,partnership,trading,+919976815511,priya.pai@yahoo.co.in,07-02-2013,03/06/2026,Live
29TCQFE1297AUZL,,Murthy Industries,Rohan Murthy,"No. 387, 4th Cross, Varthur, Bengaluru - 560048",560048,Karnataka,Bengaluru Urban,llp,manufacturing,,,2006-07-13,2024-06-13,Suspended
,CIZCN0766S,Jain & Co.,,"No. 284, 3rd Street, Varthur, Bengaluru - 560095",560095,Karnataka,Bengaluru Rural,llp,trading,+917025974257,,06/11/2008,05/07/2026,ACTIVE
,KSWAR2055Y,Iyer Corporation,Seema Iyer,"No. 259, 1st Street, Banashankari, Bengaluru - 560100",560100,Karnataka,Bengaluru Urban,public_ltd,technology,+917251794503,seema.iyer@yahoo.co.in,28/06/2010,14-11-2026,active
,ODJTH1517O,Singh Industries,Ramesh Singh,"No. 244, 2nd Layout, Whitefield, Bengaluru - 560055",560055,Karnataka,Bengaluru Urban,partnership,construction,,ramesh.singh@outlook.com,22-06-2006,30/12/2026,Active
29DSWPW2479L7ZQ,DSWPW2479L,Mishra Engineers,Deepa Mishra,"No. 79, 1st Cross, Peenya, Bengaluru - 560003",560003,Karnataka,Bengaluru Rural,proprietorship,manufacturing,+917347150882,deepa.mishra@outlook.com,2015-08-22,05/05/2022,Closed
29OOXHP8811USZS,OOXHP8811U,Mehta Industries,Manoj Mehta,"No. 461, 4th Cross, HSR Layout, Bengaluru - 560050",560050,Karnataka,Bengaluru Urban,public_ltd,services,+916768757751,manoj.mehta@gmail.com,16-05-2002,03-05-2026,Active
29XDYCA2288SYZK,XDYCA2288S,Reddy Works,Suresh Reddy,"No. 93, 4th Road, Banashankari, Bengaluru - 560045",560045,Karnataka,Bengaluru Rural,public_ltd,manufacturing,+916210112034,,2014-08-04,01/03/2025,Registered
29KIKFI3812YFZV,KIKFI3812Y,Pai & Sons,Divya Pai,"No. 163, 4th Extension, Jayanagar, Bengaluru - 560038",,Karnataka,Bengaluru Rural,public_ltd,trading,,,31/03/2018,14-10-2026,Active
,FZJCZ2995B,Jain Pvt Ltd,Rajesh Jain,"No. 140, 5th Cross, Hebbal, Bengaluru - 560004",560004,Karnataka,Bengaluru Rural,pvt_ltd,technology,,rajesh.jain@yahoo.co.in,2019-05-18,22-11-2025,Registered
29YQZTO2632T8Z0,,Swamy & Co.,Lakshmi Swamy,"No. 276, 1st Avenue, JP Nagar, Bengaluru - 560103",560103,Karnataka,Bengaluru Urban,llp,manufacturing,+919884193638,lakshmi.swamy@gmail.com,2016-08-13,15-08-2025,Active
29AHXFG0637HNZ2,AHXFG0637H,Nair Enterprises,Arun Nair,"No. 57, 3rd Extension, JP Nagar, Bengaluru - 560085",560085,Karnataka,Bengaluru Rural,pvt_ltd,technology,,arun.nair@yahoo.co.in,09-08-2008,11-12-2026,Registered
29NGOHA9690KQZH,NGOHA9690K,Kamath Works,,"No. 23, 2nd Road, Brookefield, Bengaluru - 560068",560068,Karnataka,Bengaluru Rural,partnership,services,+916533388926,,18/05/2007,04-10-2026,ACTIVE
29CMVAZ6321H3ZL,CMVAZ6321H,Menon Industries,,"No. 321, 4th Extension, Indiranagar, Bengaluru - 560103",560103,Karnataka,Bengaluru Urban,proprietorship,manufacturing,+919993867080,pramod.menon@outlook.com,03-07-2002,26/01/2026,active
29CTGAZ6037TLZ1,,Shah Engineers,Arun Shah,"No. 7, 5th Street, Indiranagar, Bengaluru - 560009",560009,Karnataka,Bengaluru Urban,public_ltd,trading,,arun.shah@yahoo.co.in,20-07-2019,02/01/2022,Closed
29PODHJ6295V3ZF,PODHJ6295V,Gowda & Co.,Ritu Gowda,"No. 328, 2nd Avenue, BTM Layout, Bengaluru - 560025",560025,Karnataka,Bengaluru Urban,proprietorship,services,,ritu.gowda@rediffmail.com,2020-05-18,04-01-2025,ACTIVE
29FFQCP7937G0ZN,FFQCP7937G,Verma Enterprises,Divya Verma,"No. 226, 2nd Street, Rajajinagar, Bengaluru - 560017",560017,Karnataka,Bengaluru Rural,proprietorship,trading,,divya.verma@yahoo.co.in,09-12-2000,2026-11-02,ACTIVE
29IFLFZ3157T4Z7,IFLFZ3157T,Shetty Services,,"No. 356, 3rd Cross, JP Nagar, Bengaluru - 560070",560070,Karnataka,Bengaluru Rural,public_ltd,technology,+918975821262,,2021-12-07,26-04-2024,Default in Filing
29PEKTY5443LUZV,PEKTY5443L,Tiwari Engineers,,"No. 459, 2nd Layout, HSR Layout, Bengaluru - 560029",560029,Karnataka,Bengaluru Urban,public_ltd,services,+916243182072,,05/11/2001,11/12/2025,Live
29LLJHK2042C5ZI,LLJHK2042C,Singh Manufacturing,Kiran Singh,"No. 37, 3rd Road, Indiranagar, Bengaluru - 560009",560009,Karnataka,Bengaluru Urban,pvt_ltd,manufacturing,+917133862799,kiran.singh@rediffmail.com,22/08/2012,18/02/2024,Dormant
29VTATQ9982XUZE,VTATQ9982X,Kamath Agency,,"No. 434, 2nd Layout, Malleshwaram, Bengaluru - 560008",,Karnataka,Bengaluru Rural,partnership,trading,,,20/10/2018,18-02-2024,Suspended
29NIAPE1936TPZO,NIAPE1936T,Tiwari Industries,Raghav Tiwari,"No. 244, 1st Cross, BTM Layout, Bengaluru - 560050",560050,Karnataka,Bengaluru Rural,partnership,services,+917015064109,raghav.tiwari@rediffmail.com,21-01-2013,2026-04-11,Active
,JAIHM1154C,Bhat Pvt Ltd,Seema Bhat,"No. 258, 4th Cross, BTM Layout, Bengaluru - 560076",560076,Karnataka,Bengaluru Urban,pvt_ltd,manufacturing,+919948623544,seema.bhat@gmail.com,20/06/2020,29/12/2024,Dormant
29KVWHH1643V6ZP,KVWHH1643V,Murthy Manufacturing,Raghav Murthy,"No. 470, 1st Street, Bellandur, Bengaluru - 560040",560040,Karnataka,Bengaluru Urban,proprietorship,technology,+916471375741,,2020-09-24,13-12-2026,active
29TJTCM0271VVZT,TJTCM0271V,Menon Agency,Anita Menon,"No. 431, 2nd Main Road, Marathahalli, Bengaluru - 560062",560062,Karnataka,Bengaluru Urban,partnership,technology,+919117160241,,30-10-2019,13-10-2026,ACTIVE
29QSXHW3007YFZN,QSXHW3007Y,Kumar & Co.,Suresh Kumar,"No. 421, 2nd Street, Malleshwaram, Bengaluru - 560001",560001,Karnataka,Bengaluru Urban,partnership,technology,+918908670583,suresh.kumar@yahoo.co.in,20/09/2017,2025-08-07,Active
,JEKFA3408U,Shenoy Solutions,Raghav Shenoy,"No. 129, 1st Extension, Electronic City, Bengaluru - 560073",560073,Karnataka,Bengaluru Rural,public_ltd,manufacturing,+916696368384,,19/02/2020,27-08-2025,Registered
,PZGAY8377T,Shenoy Exports,Arun Shenoy,"No. 105, 1st Main Road, JP Nagar, Bengaluru - 560017",560017,Karnataka,Bengaluru Rural,partnership,trading,,,26-03-2009,2026-11-12,Registered
,USFHQ3408C,Swamy Engineers,Varun Swamy,"No. 41, 4th Street, Peenya, Bengaluru - 560034",560034,Karnataka,Bengaluru Rural,pvt_ltd,manufacturing,+917114635928,varun.swamy@outlook.com,11/11/2017,28/03/2026,ACTIVE
29NTTHA7409J9ZZ,,Kamath Exports,,"No. 288, 5th Layout, JP Nagar, Bengaluru - 560040",560040,Karnataka,Bengaluru Urban,llp,trading,+917141105749,sunil.kamath@outlook.com,16/12/2021,2026-08-26,ACTIVE
29KBXHS1797YWZV,KBXHS1797Y,Pandey & Co.,Mohan Pandey,"No. 18, 3rd Street, Hebbal, Bengaluru - 560034",560034,Karnataka,Bengaluru Urban,public_ltd,construction,+918246269807,,09-08-2003,2022-05-16,Deregistered
